channels,backend,block_depth,stratas,image_size,HtoD Avg (ms),DtoH Avg (ms),Kernel Time (ms)
1,cuda,2,2,256,0.01,0.02,21.38
1,cuda,2,2,512,0.01,0.08,39.50
1,cuda,2,2,1440,0.01,0.83,207.01
1,cuda,2,3,256,0.07,0.02,45.65
1,cuda,2,3,512,0.07,0.08,64.75
1,cuda,2,3,1440,0.07,0.84,351.79
1,cuda,3,2,256,0.02,0.02,33.23
1,cuda,3,2,512,0.02,0.08,62.84
1,cuda,3,2,1440,0.02,0.84,320.15
1,cuda,3,3,256,0.10,0.02,73.85
1,cuda,3,3,512,0.10,0.08,96.19
1,cuda,3,3,1440,0.10,0.85,525.47
1,trt,2,2,256,0.02,0.02,1.84
1,trt,2,2,512,0.02,0.08,7.10
1,trt,2,2,1440,0.02,0.84,57.56
1,trt,2,3,256,0.07,0.02,2.91
1,trt,2,3,512,0.07,0.08,11.20
1,trt,2,3,1440,0.07,0.83,90.91
1,trt,3,2,256,0.02,0.02,2.70
1,trt,3,2,512,0.02,0.08,10.49
1,trt,3,2,1440,0.03,0.84,87.41
1,trt,3,3,256,0.11,0.02,4.17
1,trt,3,3,512,0.10,0.08,15.89
1,trt,3,3,1440,0.10,0.84,131.44
3,cuda,2,2,256,0.01,0.06,21.55
3,cuda,2,2,512,0.01,0.31,41.75
3,cuda,2,2,1440,0.01,2.60,212.85
3,cuda,2,3,256,0.07,0.06,45.84
3,cuda,2,3,512,0.07,0.32,65.53
3,cuda,2,3,1440,0.07,2.62,355.96
3,cuda,3,2,256,0.02,0.06,33.15
3,cuda,3,2,512,0.02,0.34,63.99
3,cuda,3,2,1440,0.02,2.64,321.91
3,cuda,3,3,256,0.10,0.06,73.74
3,cuda,3,3,512,0.10,0.30,97.56
3,cuda,3,3,1440,0.10,2.64,525.47
3,trt,2,2,256,0.02,0.06,1.85
3,trt,2,2,512,0.02,0.28,7.17
3,trt,2,2,1440,0.02,2.62,58.42
3,trt,2,3,256,0.07,0.06,2.91
3,trt,2,3,512,0.07,0.28,11.23
3,trt,2,3,1440,0.07,2.65,90.83
3,trt,3,2,256,0.03,0.06,2.68
3,trt,3,2,512,0.02,0.28,10.57
3,trt,3,2,1440,0.03,2.62,86.88
3,trt,3,3,256,0.10,0.06,4.15
3,trt,3,3,512,0.10,0.28,16.05
3,trt,3,3,1440,0.11,2.62,130.71
