channels,hardware,backend,block_depth,stratas,image_size,HtoD Avg (ms),DtoH Avg (ms),Kernel Time (ms)
1,a4000,cuda,2,2,256,0.01,0.02,21.37
1,a4000,cuda,2,2,512,0.01,0.08,39.16
1,a4000,cuda,2,2,1024,0.01,0.41,111.96
1,a4000,cuda,2,2,2048,0.01,1.73,519.39
1,a4000,cuda,2,3,256,0.07,0.02,45.66
1,a4000,cuda,2,3,512,0.07,0.08,64.52
1,a4000,cuda,2,3,1024,0.07,0.42,192.77
1,a4000,cuda,2,3,2048,0.07,1.76,781.94
1,a4000,cuda,2,4,256,0.29,0.02,68.55
1,a4000,cuda,2,4,512,0.29,0.08,87.55
1,a4000,cuda,2,4,1024,0.29,0.42,271.17
1,a4000,cuda,2,4,2048,0.29,1.72,1031.0
1,a4000,cuda,2,5,256,1.18,0.02,90.14
1,a4000,cuda,2,5,512,1.17,0.08,119.27
1,a4000,cuda,2,5,1024,1.17,0.42,359.06
1,a4000,cuda,2,5,2048,1.18,1.72,1306.37
1,a4000,cuda,3,2,256,0.02,0.02,33.13
1,a4000,cuda,3,2,512,0.02,0.08,62.37
1,a4000,cuda,3,2,1024,0.02,0.39,174.87
1,a4000,cuda,3,2,2048,0.02,1.74,743.07
1,a4000,cuda,3,3,256,0.1,0.02,73.84
1,a4000,cuda,3,3,512,0.1,0.08,96.66
1,a4000,cuda,3,3,1024,0.1,0.42,291.92
1,a4000,cuda,3,3,2048,0.1,1.75,1116.5
1,a4000,cuda,3,4,256,0.42,0.02,111.38
1,a4000,cuda,3,4,512,0.43,0.08,131.44
1,a4000,cuda,3,4,1024,0.42,0.35,404.05
1,a4000,cuda,3,4,2048,0.42,1.74,1459.41
1,a4000,cuda,3,5,256,1.71,0.02,145.56
1,a4000,cuda,3,5,512,1.73,0.08,177.85
1,a4000,cuda,3,5,1024,1.73,0.42,530.66
1,a4000,cuda,3,5,2048,1.72,1.77,1852.32
1,a4000,cuda,4,2,256,0.03,0.02,45.6
1,a4000,cuda,4,2,512,0.03,0.08,85.18
1,a4000,cuda,4,2,1024,0.03,0.41,237.67
1,a4000,cuda,4,2,2048,0.03,1.76,959.74
1,a4000,cuda,4,3,256,0.13,0.02,102.86
1,a4000,cuda,4,3,512,0.13,0.08,128.51
1,a4000,cuda,4,3,1024,0.13,0.42,389.95
1,a4000,cuda,4,3,2048,0.13,1.72,1441.91
1,a4000,cuda,4,4,256,0.55,0.02,155.43
1,a4000,cuda,4,4,512,0.55,0.08,172.97
1,a4000,cuda,4,4,1024,0.55,0.41,535.28
1,a4000,cuda,4,4,2048,0.55,1.75,1884.01
1,a4000,cuda,4,5,256,2.27,0.02,201.73
1,a4000,cuda,4,5,512,2.28,0.08,234.6
1,a4000,cuda,4,5,1024,2.26,0.42,700.12
1,a4000,cuda,4,5,2048,2.3,1.76,2402.86
1,a4000,cuda,5,2,256,0.04,0.02,57.94
1,a4000,cuda,5,2,512,0.04,0.08,107.23
1,a4000,cuda,5,2,1024,0.04,0.42,300.3
1,a4000,cuda,5,2,2048,0.04,1.73,1178.29
1,a4000,cuda,5,3,256,0.16,0.02,131.4
1,a4000,cuda,5,3,512,0.17,0.08,160.04
1,a4000,cuda,5,3,1024,0.16,0.43,487.54
1,a4000,cuda,5,3,2048,0.17,1.71,1776.39
1,a4000,cuda,5,4,256,0.69,0.02,199.05
1,a4000,cuda,5,4,512,0.69,0.08,215.59
1,a4000,cuda,5,4,1024,0.69,0.41,667.59
1,a4000,cuda,5,4,2048,0.69,1.75,2313.32
1,a4000,cuda,5,5,256,2.8,0.02,258.63
1,a4000,cuda,5,5,512,2.88,0.08,292.64
1,a4000,cuda,5,5,1024,2.81,0.4,873.0
1,a4000,cuda,5,5,2048,2.81,1.74,2949.03
1,a4000,tensorrt,2,2,256,0.02,0.02,1.85
1,a4000,tensorrt,2,2,512,0.02,0.08,7.02
1,a4000,tensorrt,2,2,1024,0.02,0.4,28.14
1,a4000,tensorrt,2,2,2048,0.02,1.66,117.65
1,a4000,tensorrt,2,3,256,0.07,0.02,2.91
1,a4000,tensorrt,2,3,512,0.07,0.08,11.09
1,a4000,tensorrt,2,3,1024,0.07,0.4,44.37
1,a4000,tensorrt,2,3,2048,0.07,1.73,183.38
1,a4000,tensorrt,2,4,256,0.29,0.02,4.03
1,a4000,tensorrt,2,4,512,0.3,0.08,14.77
1,a4000,tensorrt,2,4,1024,0.29,0.4,59.13
1,a4000,tensorrt,2,4,2048,0.29,1.74,240.92
1,a4000,tensorrt,2,5,256,1.2,0.02,5.5
1,a4000,tensorrt,2,5,512,1.18,0.08,18.56
1,a4000,tensorrt,2,5,1024,1.19,0.4,72.66
1,a4000,tensorrt,2,5,2048,1.21,1.71,296.94
1,a4000,tensorrt,3,2,256,0.02,0.02,2.68
1,a4000,tensorrt,3,2,512,0.02,0.08,10.47
1,a4000,tensorrt,3,2,1024,0.02,0.4,42.34
1,a4000,tensorrt,3,2,2048,0.03,1.77,175.13
1,a4000,tensorrt,3,3,256,0.1,0.02,4.16
1,a4000,tensorrt,3,3,512,0.1,0.08,15.95
1,a4000,tensorrt,3,3,1024,0.1,0.4,64.14
1,a4000,tensorrt,3,3,2048,0.1,1.77,263.28
1,a4000,tensorrt,3,4,256,0.43,0.02,5.76
1,a4000,tensorrt,3,4,512,0.43,0.08,20.93
1,a4000,tensorrt,3,4,1024,0.43,0.4,83.71
1,a4000,tensorrt,3,4,2048,0.44,1.75,343.62
1,a4000,tensorrt,3,5,256,1.73,0.02,7.8
1,a4000,tensorrt,3,5,512,1.73,0.08,26.2
1,a4000,tensorrt,3,5,1024,1.74,0.4,103.53
1,a4000,tensorrt,3,5,2048,1.75,1.74,418.23
1,a4000,tensorrt,4,2,256,0.03,0.02,3.52
1,a4000,tensorrt,4,2,512,0.03,0.08,13.84
1,a4000,tensorrt,4,2,1024,0.03,0.4,56.11
1,a4000,tensorrt,4,2,2048,0.03,1.73,232.21
1,a4000,tensorrt,4,3,256,0.14,0.02,5.48
1,a4000,tensorrt,4,3,512,0.14,0.08,20.84
1,a4000,tensorrt,4,3,1024,0.14,0.4,83.5
1,a4000,tensorrt,4,3,2048,0.14,1.74,344.56
1,a4000,tensorrt,4,4,256,0.58,0.02,7.46
1,a4000,tensorrt,4,4,512,0.57,0.08,27.04
1,a4000,tensorrt,4,4,1024,0.57,0.4,109.44
1,a4000,tensorrt,4,4,2048,0.58,1.75,444.57
1,a4000,tensorrt,4,5,256,2.33,0.02,10.09
1,a4000,tensorrt,4,5,512,2.27,0.08,34.3
1,a4000,tensorrt,4,5,1024,2.26,0.39,134.67
1,a4000,tensorrt,4,5,2048,2.29,1.41,543.61
1,a4000,tensorrt,5,2,256,0.04,0.02,4.34
1,a4000,tensorrt,5,2,512,0.04,0.08,17.23
1,a4000,tensorrt,5,2,1024,0.04,0.4,69.81
1,a4000,tensorrt,5,2,2048,0.04,1.72,288.61
1,a4000,tensorrt,5,3,256,0.18,0.02,6.74
1,a4000,tensorrt,5,3,512,0.17,0.08,25.54
1,a4000,tensorrt,5,3,1024,0.17,0.4,104.01
1,a4000,tensorrt,5,3,2048,0.18,1.74,422.77
1,a4000,tensorrt,5,4,256,0.71,0.02,9.19
1,a4000,tensorrt,5,4,512,0.71,0.08,33.36
1,a4000,tensorrt,5,4,1024,0.71,0.4,133.96
1,a4000,tensorrt,5,4,2048,0.7,1.74,547.3
1,a4000,tensorrt,5,5,256,2.83,0.02,12.44
1,a4000,tensorrt,5,5,512,2.81,0.08,41.77
1,a4000,tensorrt,5,5,1024,2.87,0.37,164.6
1,a4000,tensorrt,5,5,2048,2.83,1.42,666.73
1,a6000,cuda,2,2,256,0.01,0.02,12.41
1,a6000,cuda,2,2,512,0.01,0.08,23.83
1,a6000,cuda,2,2,1024,0.01,0.4,69.16
1,a6000,cuda,2,2,2048,0.01,1.73,255.92
